id_tiempo,id_cliente,id_producto,id_region,id_vendedor,cantidad,precio_unitario,descuento,monto_total,canal_venta
53,65,30,8,2,11,344.62,0,3790.82,Tienda
590,162,41,1,3,13,5255.3,5,68318.9,Online
88,64,1,2,9,19,19694.81,20,374201.39,Tienda
633,58,11,9,7,20,1274.65,5,25493.0,Tienda
602,110,44,5,10,15,7390.56,0,110858.4,Tienda
102,196,25,4,11,20,150.14,20,3002.8,Online
178,142,11,2,3,3,1341.74,0,4025.22,Online
481,75,33,1,4,15,3294.86,10,49422.9,Online
464,19,45,4,15,10,4660.4,10,46604.0,Online
203,109,27,2,9,19,216.35,10,4110.65,Online
146,19,45,1,3,5,4142.58,20,20712.9,Tienda
582,74,11,8,2,20,1207.57,10,24151.4,Tienda
279,129,13,9,8,10,1307.58,10,13075.8,Tienda
442,189,7,6,10,20,9614.16,0,192283.2,Online
691,148,26,10,1,3,127.29,0,381.87,Distribuidor
180,121,22,9,11,9,229.27,5,2063.43,Tienda
599,112,47,8,2,9,8949.5,0,80545.5,Tienda
687,27,1,3,6,14,24618.51,0,344659.14,Tienda
410,195,9,9,1,16,15880.36,0,254085.76,Tienda
119,198,28,7,14,11,285.2,0,3137.2,Tienda
555,119,11,7,1,1,1207.57,10,1207.57,Online
510,161,34,8,13,12,8099.92,10,97199.04,Online
295,113,27,8,2,9,228.37,5,2055.33,Online
727,41,44,5,9,20,6651.5,10,133030.0,Online
117,119,6,2,11,14,17421.94,0,243907.16,Tienda
299,131,27,5,7,16,192.31,20,3076.96,Tienda
564,38,36,7,4,16,16089.34,0,257429.44,Distribuidor
140,18,48,5,13,17,4910.25,10,83474.25,Tienda
519,69,28,1,5,14,285.2,0,3992.8,Tienda
676,126,10,3,8,19,17307.15,5,328835.85,Tienda
556,97,42,8,15,12,8044.18,0,96530.16,Online
245,147,2,7,4,7,8097.38,20,56681.66,Distribuidor
484,181,40,7,7,14,4635.73,0,64900.22,Distribuidor
38,33,13,9,10,5,1380.23,5,6901.15,Online
450,26,44,9,15,4,6281.98,15,25127.92,Tienda
671,40,12,2,8,5,870.7,5,4353.5,Tienda
710,102,22,2,14,9,241.34,0,2172.06,Online
325,161,14,8,14,18,1138.05,0,20484.9,Tienda
646,176,18,5,4,20,864.11,0,17282.2,Tienda
648,181,5,2,8,14,10705.66,20,149879.24,Online
48,84,31,1,5,10,12260.26,20,122602.6,Online
543,106,15,10,11,14,1741.7,0,24383.8,Tienda
624,98,18,10,11,6,864.11,0,5184.66,Online
472,164,21,5,8,19,170.77,0,3244.63,Online
476,74,9,9,3,1,13498.31,15,13498.31,Online
307,164,9,7,12,12,12704.29,20,152451.48,Online
393,124,39,2,4,10,8468.99,0,84689.9,Online
717,76,38,1,14,12,3164.24,5,37970.88,Tienda
703,200,14,1,15,9,1138.05,0,10242.45,Tienda
294,199,18,4,10,16,734.49,15,11751.84,Tienda
635,65,36,3,11,8,14480.41,10,115843.28,Online
451,9,24,10,6,2,235.71,0,471.42,Tienda
334,192,49,7,3,3,8075.5,20,24226.5,Online
374,136,46,9,15,18,4595.41,15,82717.38,Online
493,76,39,6,13,6,8468.99,0,50813.94,Online
232,174,49,7,14,3,10094.37,0,30283.11,Tienda
404,4,48,5,9,12,5455.83,0,65469.96,Online
689,68,19,10,7,12,1044.22,10,12530.64,Tienda
240,121,30,1,10,12,344.62,0,4135.44,Distribuidor
624,57,48,2,11,18,5455.83,0,98204.94,Tienda
120,36,38,1,1,10,2997.7,10,29977.0,Online
241,138,9,3,7,16,15880.36,0,254085.76,Tienda
159,107,17,2,14,18,1049.07,5,18883.26,Tienda
287,9,23,6,4,14,138.82,20,1943.48,Tienda
102,176,13,6,9,8,1234.94,15,9879.52,Distribuidor
283,49,6,2,14,12,17421.94,0,209063.28,Tienda
657,164,16,10,1,3,1436.81,10,4310.43,Online
129,145,32,4,2,11,8306.41,0,91370.51,Tienda
222,60,11,6,13,18,1341.74,0,24151.32,Online
149,34,49,9,5,20,10094.37,0,201887.4,Tienda
27,34,10,1,6,4,16396.24,10,65584.96,Tienda
17,45,39,5,1,8,8045.54,5,64364.32,Online
66,122,30,8,13,14,327.39,5,4583.46,Online
515,57,14,10,1,19,1138.05,0,21622.95,Tienda
658,8,43,1,8,17,7185.88,0,122159.96,Tienda
502,183,22,8,2,14,217.21,10,3040.94,Distribuidor
68,33,24,5,10,11,212.14,10,2333.54,Tienda
390,153,27,9,5,18,216.35,10,3894.3,Tienda
719,30,38,9,12,20,3164.24,5,63284.8,Distribuidor
234,106,33,6,14,14,3477.9,5,48690.6,Tienda
321,110,6,6,11,14,15679.75,10,219516.5,Online
485,18,37,2,14,5,12650.29,10,63251.45,Online
381,34,33,9,1,14,3660.95,0,51253.3,Tienda
687,32,24,7,6,18,223.92,5,4030.56,Distribuidor
53,74,18,10,5,14,734.49,15,10282.86,Online
159,169,30,8,4,19,327.39,5,6220.41,Tienda
376,30,42,5,10,12,6837.55,15,82050.6,Online
636,158,16,9,1,14,1356.99,15,18997.86,Tienda
280,180,3,5,15,9,5399.91,0,48599.19,Online
147,145,1,7,2,1,24618.51,0,24618.51,Online
543,56,22,7,7,1,241.34,0,241.34,Tienda
333,199,29,10,10,6,23.18,0,139.08,Online
632,13,10,2,5,2,18218.05,0,36436.1,Tienda
452,107,3,5,4,14,5129.91,5,71818.74,Tienda
114,73,15,10,8,4,1741.7,0,6966.8,Tienda
404,154,7,1,1,10,9614.16,0,96141.6,Online
262,75,16,6,2,7,1436.81,10,10057.67,Online
389,137,45,4,9,14,5178.22,0,72495.08,Tienda
44,112,25,1,8,12,187.68,0,2252.16,Distribuidor
587,104,37,7,5,11,13353.09,5,146883.99,Online
176,159,24,8,14,1,188.57,20,188.57,Tienda
109,63,28,7,10,12,285.2,0,3422.4,Tienda
318,191,27,6,4,3,240.39,0,721.17,Online
648,30,30,9,9,6,344.62,0,2067.72,Online
660,38,24,4,2,12,235.71,0,2828.52,Online
157,195,49,2,3,7,10094.37,0,70660.59,Distribuidor
577,195,33,10,8,16,3477.9,5,55646.4,Tienda
639,83,44,6,3,19,6651.5,10,126378.5,Tienda
311,71,9,10,1,16,15086.34,5,241381.44,Online
462,10,39,1,6,3,8468.99,0,25406.97,Tienda
93,158,35,10,9,3,2544.09,10,7632.27,Online
43,116,16,10,11,19,1516.64,5,28816.16,Online
155,16,14,8,2,20,1081.15,5,21623.0,Tienda
87,130,29,3,1,11,18.54,20,203.94,Online
536,134,21,10,3,15,136.62,20,2049.3,Online
346,174,44,10,1,10,7390.56,0,73905.6,Tienda
97,143,6,7,5,11,17421.94,0,191641.34,Online
341,21,26,10,11,20,108.2,15,2164.0,Online
672,179,14,7,3,12,1138.05,0,13656.6,Tienda
385,165,8,6,14,3,23762.76,0,71288.28,Online
687,109,3,9,6,17,5399.91,0,91798.47,Online
220,88,23,8,4,10,173.52,0,1735.2,Online
303,26,42,9,13,5,8044.18,0,40220.9,Tienda
344,197,21,10,3,17,170.77,0,2903.09,Tienda
710,198,46,10,13,5,5406.37,0,27031.85,Distribuidor
373,174,29,4,8,15,23.18,0,347.7,Tienda
245,80,33,8,15,15,3660.95,0,54914.25,Tienda
584,113,3,8,13,12,4859.92,10,58319.04,Online
428,42,5,4,13,13,12712.97,5,165268.61,Tienda
492,96,30,9,15,9,344.62,0,3101.58,Online
292,22,38,3,5,17,2831.16,15,48129.72,Tienda
447,24,22,4,14,17,241.34,0,4102.78,Tienda
424,14,18,7,9,12,691.29,20,8295.48,Online
383,58,44,1,6,13,5912.45,20,76861.85,Distribuidor
141,10,35,5,15,11,2544.09,10,27984.99,Tienda
480,115,45,10,1,5,4660.4,10,23302.0,Distribuidor
154,141,27,10,9,1,240.39,0,240.39,Tienda
125,13,10,4,7,10,18218.05,0,182180.5,Tienda
114,128,6,10,9,20,16550.84,5,331016.8,Online
148,75,12,7,1,17,870.7,5,14801.9,Tienda
192,171,23,2,9,8,164.84,5,1318.72,Distribuidor
557,130,16,9,9,3,1277.17,20,3831.51,Online
396,96,20,5,12,16,1575.65,0,25210.4,Online
673,161,9,2,13,3,15880.36,0,47641.08,Tienda
360,140,30,6,14,11,344.62,0,3790.82,Tienda
490,162,29,3,13,15,18.54,20,278.1,Online
207,12,12,4,15,15,916.53,0,13747.95,Online
556,122,2,5,1,10,9615.64,5,96156.4,Tienda
49,168,30,6,5,7,344.62,0,2412.34,Online
409,191,29,8,15,12,22.02,5,264.24,Distribuidor
508,178,13,8,6,11,1162.3,20,12785.3,Distribuidor
85,187,16,7,2,17,1596.46,0,27139.82,Tienda
329,27,44,2,6,6,7021.03,5,42126.18,Tienda
436,43,20,8,6,10,1496.87,5,14968.7,Tienda
445,71,7,1,2,12,8652.74,10,103832.88,Tienda
696,41,19,1,3,13,1160.24,0,15083.12,Tienda
69,61,27,6,6,15,240.39,0,3605.85,Online
158,174,10,8,6,19,18218.05,0,346142.95,Online
542,94,16,7,6,3,1516.64,5,4549.92,Tienda
27,189,11,3,8,8,1073.39,20,8587.12,Tienda
267,181,25,8,4,18,187.68,0,3378.24,Distribuidor
502,52,25,2,3,10,168.91,10,1689.1,Distribuidor
731,114,25,2,13,15,187.68,0,2815.2,Tienda
727,17,44,9,9,11,6651.5,10,73166.5,Online
729,182,42,3,13,10,6837.55,15,68375.5,Online
206,36,27,4,13,8,240.39,0,1923.12,Tienda
377,120,17,9,3,12,1049.07,5,12588.84,Tienda
407,184,50,8,9,3,9213.18,0,27639.54,Tienda
76,33,4,6,11,14,15259.71,15,213635.94,Online
352,33,43,9,11,15,6467.29,10,97009.35,Tienda
57,32,35,9,3,5,2685.43,5,13427.15,Online
727,58,4,6,9,6,17952.6,0,107715.6,Distribuidor
650,142,28,5,3,3,285.2,0,855.6,Tienda
514,165,21,3,10,20,162.23,5,3244.6,Distribuidor
639,185,23,10,6,5,173.52,0,867.6,Tienda
30,21,45,1,11,19,5178.22,0,98386.18,Tienda
585,107,8,10,11,9,21386.48,10,192478.32,Online
310,124,25,4,13,18,187.68,0,3378.24,Tienda
75,177,34,1,3,13,8999.91,0,116998.83,Tienda
348,156,31,3,6,16,14559.06,5,232944.96,Distribuidor
353,103,48,3,13,11,4910.25,10,54012.75,Online
248,120,48,2,5,18,5455.83,0,98204.94,Tienda
298,99,35,10,7,5,2826.77,0,14133.85,Online
591,185,21,6,4,6,145.15,15,870.9,Tienda
478,128,2,5,8,16,8097.38,20,129558.08,Online
247,56,45,10,6,13,4919.31,5,63951.03,Online
670,173,46,8,5,10,5136.05,5,51360.5,Tienda
271,187,17,6,13,4,1049.07,5,4196.28,Tienda
583,144,20,4,6,2,1496.87,5,2993.74,Tienda
461,196,20,9,5,3,1575.65,0,4726.95,Tienda
122,33,32,2,7,20,7475.77,10,149515.4,Online
374,194,26,3,4,11,120.93,5,1330.23,Tienda
47,10,42,3,12,13,7641.97,5,99345.61,Online
153,156,22,9,3,16,229.27,5,3668.32,Online
402,158,46,5,10,20,5406.37,0,108127.4,Online
726,145,38,5,8,17,3164.24,5,53792.08,Tienda
113,107,50,10,5,12,9213.18,0,110558.16,Tienda
272,168,21,10,10,1,162.23,5,162.23,Online
175,135,7,10,13,2,9133.45,5,18266.9,Tienda
249,9,50,10,12,5,7831.2,15,39156.0,Online
428,39,39,7,12,1,8045.54,5,8045.54,Online
482,189,23,1,12,17,156.17,10,2654.89,Online
679,123,14,9,7,7,1081.15,5,7568.05,Online
545,88,18,9,6,6,820.9,5,4925.4,Tienda
197,64,34,5,9,9,8099.92,10,72899.28,Online
722,54,15,8,6,10,1567.53,10,15675.3,Tienda
281,74,44,2,10,18,5912.45,20,106424.1,Tienda
404,89,2,3,5,13,8603.47,15,111845.11,Online
452,168,11,5,12,3,1341.74,0,4025.22,Tienda
278,144,30,5,3,7,292.93,15,2050.51,Online
52,172,22,9,4,19,241.34,0,4585.46,Tienda
338,184,35,8,2,2,2826.77,0,5653.54,Tienda
563,41,39,7,11,5,8468.99,0,42344.95,Distribuidor
205,194,37,5,6,16,13353.09,5,213649.44,Online
92,167,22,10,4,2,193.07,20,386.14,Tienda
180,107,46,3,15,2,4325.1,20,8650.2,Distribuidor
191,192,4,5,15,13,16157.34,10,210045.42,Online
110,86,46,5,8,10,5136.05,5,51360.5,Distribuidor
138,130,39,8,5,18,8045.54,5,144819.72,Online
469,166,15,5,12,4,1741.7,0,6966.8,Online
581,173,40,4,3,11,4172.16,10,45893.76,Tienda
527,84,46,2,7,13,4595.41,15,59740.33,Tienda
488,83,11,4,1,6,1073.39,20,6440.34,Online
274,85,24,5,10,8,223.92,5,1791.36,Tienda
368,178,30,4,1,1,344.62,0,344.62,Tienda
415,176,39,9,15,15,8468.99,0,127034.85,Distribuidor
654,76,35,6,10,10,2544.09,10,25440.9,Online
465,192,37,10,6,5,13353.09,5,66765.45,Tienda
550,171,44,4,13,18,5912.45,20,106424.1,Online
84,135,14,8,9,20,967.34,15,19346.8,Tienda
115,16,9,9,15,3,12704.29,20,38112.87,Tienda
169,84,16,9,8,19,1516.64,5,28816.16,Online
500,24,46,9,8,7,4865.73,10,34060.11,Tienda
425,117,23,10,1,15,173.52,0,2602.8,Tienda
405,66,40,1,12,10,4172.16,10,41721.6,Online
352,180,2,2,9,3,10121.73,0,30365.19,Distribuidor
483,9,14,5,7,3,910.44,20,2731.32,Online
661,108,2,6,15,5,9109.56,10,45547.8,Online
700,170,43,9,3,13,7185.88,0,93416.44,Tienda
550,101,31,9,3,12,15325.33,0,183903.96,Tienda
24,77,35,8,11,8,2402.75,15,19222.0,Tienda
236,64,36,8,6,14,15284.87,5,213988.18,Online
116,9,12,7,10,7,733.22,20,5132.54,Tienda
69,26,20,10,1,1,1575.65,0,1575.65,Tienda
46,103,47,8,4,2,8949.5,0,17899.0,Tienda
297,60,23,10,6,2,173.52,0,347.04,Tienda
147,170,26,9,4,11,127.29,0,1400.19,Tienda
605,189,22,3,11,9,241.34,0,2172.06,Tienda
352,165,9,7,13,18,15086.34,5,271554.12,Tienda
308,97,50,3,13,14,8752.52,5,122535.28,Tienda
308,182,48,3,13,8,4637.46,15,37099.68,Tienda
426,143,41,9,3,2,5255.3,5,10510.6,Online
662,21,1,8,14,9,24618.51,0,221566.59,Online
196,14,1,5,7,18,22156.66,10,398819.88,Tienda
75,49,43,10,12,20,7185.88,0,143717.6,Tienda
340,78,41,1,4,7,5255.3,5,36787.1,Distribuidor
490,63,5,10,12,4,12043.86,10,48175.44,Online
290,98,15,8,9,8,1654.62,5,13236.96,Tienda
525,128,20,8,2,10,1575.65,0,15756.5,Tienda
328,53,4,6,6,16,16157.34,10,258517.44,Tienda
150,5,17,5,9,19,938.64,15,17834.16,Distribuidor
303,40,9,4,6,19,14292.32,10,271554.08,Online
511,141,27,6,5,19,204.33,15,3882.27,Tienda
657,190,11,8,8,16,1073.39,20,17174.24,Online
559,126,32,3,15,12,8306.41,0,99676.92,Distribuidor
77,172,14,1,13,2,1081.15,5,2162.3,Online
237,18,17,3,1,5,938.64,15,4693.2,Online
632,164,14,10,15,15,1138.05,0,17070.75,Tienda
544,142,29,7,1,16,23.18,0,370.88,Online
294,5,1,9,14,9,23387.58,5,210488.22,Tienda
184,28,12,2,9,14,779.05,15,10906.7,Online
259,91,23,5,13,7,156.17,10,1093.19,Online
470,145,49,4,12,12,8075.5,20,96906.0,Online
665,195,10,1,2,3,16396.24,10,49188.72,Tienda
58,164,31,1,12,13,14559.06,5,189267.78,Online
660,85,24,10,14,16,200.35,15,3205.6,Distribuidor
236,55,38,10,8,17,2664.62,20,45298.54,Online
288,140,28,10,11,3,256.68,10,770.04,Online
213,151,26,3,13,11,127.29,0,1400.19,Tienda
307,42,3,10,4,13,4319.93,20,56159.09,Tienda
553,85,47,7,13,13,8054.55,10,104709.15,Tienda
354,14,43,2,7,3,6826.59,5,20479.77,Online
628,153,14,7,13,3,1138.05,0,3414.15,Online
461,126,32,4,6,9,7475.77,10,67281.93,Tienda
697,150,16,7,2,13,1516.64,5,19716.32,Tienda
731,19,18,2,5,10,777.7,10,7777.0,Online
325,93,37,2,2,5,12650.29,10,63251.45,Online
277,27,3,3,2,10,5129.91,5,51299.1,Online
524,105,14,2,1,15,1081.15,5,16217.25,Online
612,84,2,7,1,18,10121.73,0,182191.14,Online
572,63,45,10,9,13,4660.4,10,60585.2,Online
276,78,43,5,8,13,7185.88,0,93416.44,Online
431,77,36,8,13,6,15284.87,5,91709.22,Online
640,127,34,10,10,9,7199.93,20,64799.37,Online
7,102,46,6,14,4,5406.37,0,21625.48,Tienda
440,167,2,10,3,11,9615.64,5,105772.04,Online
206,123,26,6,3,20,101.83,20,2036.6,Distribuidor
712,163,26,8,10,11,127.29,0,1400.19,Tienda
402,94,41,2,15,11,5531.9,0,60850.9,Tienda
185,175,14,9,1,19,910.44,20,17298.36,Distribuidor
215,113,43,5,14,15,5748.7,20,86230.5,Tienda
143,163,10,5,4,14,16396.24,10,229547.36,Online
386,19,39,8,10,5,7622.09,10,38110.45,Tienda
709,108,10,9,1,13,17307.15,5,224992.95,Tienda
549,153,50,2,2,12,8291.86,10,99502.32,Tienda
627,12,37,10,11,12,14055.88,0,168670.56,Tienda
339,111,22,2,1,13,193.07,20,2509.91,Online
531,143,45,10,12,8,4919.31,5,39354.48,Tienda
474,198,33,10,12,15,3660.95,0,54914.25,Tienda
494,27,14,5,7,12,910.44,20,10925.28,Distribuidor
146,90,30,5,6,3,344.62,0,1033.86,Tienda
356,122,25,2,8,7,178.3,5,1248.1,Tienda
308,12,25,2,1,15,187.68,0,2815.2,Tienda
169,190,15,4,9,4,1567.53,10,6270.12,Online
436,119,47,4,13,6,8949.5,0,53697.0,Tienda
674,111,11,7,1,6,1341.74,0,8050.44,Tienda
439,100,15,1,12,7,1654.62,5,11582.34,Online
65,148,39,2,13,9,7622.09,10,68598.81,Distribuidor
202,118,31,2,5,6,15325.33,0,91951.98,Tienda
654,81,50,10,7,16,8752.52,5,140040.32,Tienda
360,118,15,10,3,19,1741.7,0,33092.3,Tienda
604,22,49,3,6,10,8075.5,20,80755.0,Online
382,178,6,3,9,10,17421.94,0,174219.4,Online
392,109,8,3,8,20,23762.76,0,475255.2,Tienda
501,74,11,3,3,6,1274.65,5,7647.9,Online
367,3,26,8,3,15,114.56,10,1718.4,Online
517,168,18,8,7,13,691.29,20,8986.77,Tienda
454,126,24,3,2,14,212.14,10,2969.96,Tienda
282,58,45,9,5,8,5178.22,0,41425.76,Online
507,141,34,9,2,15,8549.91,5,128248.65,Tienda
375,139,5,1,13,9,12043.86,10,108394.74,Tienda
435,27,44,4,5,18,7390.56,0,133030.08,Distribuidor
356,23,19,8,14,2,1102.23,5,2204.46,Distribuidor
602,177,10,6,14,8,18218.05,0,145744.4,Tienda
143,53,35,4,13,14,2826.77,0,39574.78,Online
611,138,14,3,6,12,1081.15,5,12973.8,Distribuidor
274,132,26,2,3,10,127.29,0,1272.9,Distribuidor
284,168,13,3,12,14,1162.3,20,16272.2,Distribuidor
330,64,25,7,8,8,187.68,0,1501.44,Online
384,116,39,2,11,9,7622.09,10,68598.81,Tienda
285,178,30,6,8,3,327.39,5,982.17,Distribuidor
96,188,34,8,11,11,8549.91,5,94049.01,Tienda
547,102,5,4,7,12,11374.76,15,136497.12,Tienda
291,87,10,9,10,16,18218.05,0,291488.8,Online
699,196,43,1,1,16,6467.29,10,103476.64,Online
162,113,21,8,1,15,170.77,0,2561.55,Distribuidor
706,34,37,5,3,14,14055.88,0,196782.32,Distribuidor
369,65,7,2,6,9,9614.16,0,86527.44,Tienda
640,79,7,4,7,6,9614.16,0,57684.96,Tienda
488,20,43,3,10,4,7185.88,0,28743.52,Online
713,88,11,2,14,15,1341.74,0,20126.1,Tienda
235,99,24,2,12,5,223.92,5,1119.6,Tienda
307,36,20,7,13,4,1575.65,0,6302.6,Tienda
694,37,48,2,9,5,4910.25,10,24551.25,Tienda
450,90,5,4,11,20,12043.86,10,240877.2,Tienda
453,56,41,2,15,14,4978.71,10,69701.94,Online
393,90,31,7,6,4,14559.06,5,58236.24,Tienda
87,64,1,9,10,8,24618.51,0,196948.08,Tienda
708,7,25,5,4,20,187.68,0,3753.6,Tienda
401,76,49,1,13,17,10094.37,0,171604.29,Distribuidor
116,62,29,8,11,8,22.02,5,176.16,Tienda
13,93,9,6,3,17,13498.31,15,229471.27,Online
559,175,17,3,13,19,1049.07,5,19932.33,Tienda
70,4,6,5,4,3,17421.94,0,52265.82,Online
407,130,47,5,11,2,7159.6,20,14319.2,Tienda
411,22,21,9,9,14,162.23,5,2271.22,Tienda
81,131,29,4,13,9,23.18,0,208.62,Online
649,196,48,2,5,11,5455.83,0,60014.13,Tienda
89,112,22,2,8,8,241.34,0,1930.72,Tienda
674,190,31,3,2,2,15325.33,0,30650.66,Online
168,128,34,6,9,5,8099.92,10,40499.6,Tienda
130,192,15,5,12,9,1741.7,0,15675.3,Distribuidor
439,70,37,9,2,1,14055.88,0,14055.88,Online
508,117,48,9,6,19,4910.25,10,93294.75,Online
162,66,2,2,15,19,10121.73,0,192312.87,Tienda
521,1,5,1,14,4,13382.07,0,53528.28,Distribuidor
372,99,30,3,3,8,344.62,0,2756.96,Distribuidor
672,108,34,4,6,2,8549.91,5,17099.82,Online
80,147,29,6,2,11,23.18,0,254.98,Tienda
528,12,36,7,2,2,16089.34,0,32178.68,Distribuidor
319,84,4,2,9,10,16157.34,10,161573.4,Tienda
577,78,33,10,4,12,3660.95,0,43931.4,Tienda
201,188,29,9,13,19,18.54,20,352.26,Tienda
419,7,29,4,9,5,23.18,0,115.9,Online
2,195,19,7,14,1,928.19,20,928.19,Tienda
542,61,46,7,8,10,5406.37,0,54063.7,Distribuidor
96,12,1,4,15,5,22156.66,10,110783.3,Tienda
381,118,14,2,10,14,1024.24,10,14339.36,Online
403,20,4,10,10,5,16157.34,10,80786.7,Online
268,81,24,7,12,5,235.71,0,1178.55,Tienda
279,60,30,2,4,11,344.62,0,3790.82,Online
109,43,33,8,8,19,3660.95,0,69558.05,Online
213,116,10,5,8,4,17307.15,5,69228.6,Online
703,78,26,10,1,4,127.29,0,509.16,Online
729,64,15,6,7,11,1741.7,0,19158.7,Tienda
179,8,48,7,14,10,5455.83,0,54558.3,Tienda
473,27,10,3,2,18,18218.05,0,327924.9,Online
410,96,30,2,10,8,344.62,0,2756.96,Tienda
67,51,28,8,13,3,285.2,0,855.6,Online
472,13,11,3,15,11,1341.74,0,14759.14,Tienda
391,175,25,7,3,13,178.3,5,2317.9,Online
456,39,27,1,10,6,240.39,0,1442.34,Tienda
510,106,46,9,8,8,4865.73,10,38925.84,Online
429,52,48,9,4,9,5455.83,0,49102.47,Tienda
391,183,12,6,8,18,824.88,10,14847.84,Tienda
579,129,27,6,7,16,240.39,0,3846.24,Online
225,8,28,5,1,1,285.2,0,285.2,Tienda
598,60,18,3,2,16,820.9,5,13134.4,Online
58,196,2,4,10,8,10121.73,0,80973.84,Tienda
178,46,16,4,10,13,1596.46,0,20753.98,Online
29,181,15,6,10,12,1393.36,20,16720.32,Tienda
504,139,44,5,3,19,5912.45,20,112336.55,Tienda
616,57,38,1,9,3,3330.78,0,9992.34,Tienda
207,34,17,6,12,11,883.42,20,9717.62,Online
152,151,41,3,13,11,5531.9,0,60850.9,Online
75,96,33,7,10,17,3111.81,15,52900.77,Online
162,188,10,7,13,10,18218.05,0,182180.5,Tienda
179,182,36,9,12,16,14480.41,10,231686.56,Distribuidor
229,171,30,10,14,20,310.16,10,6203.2,Online
302,33,43,3,12,10,6467.29,10,64672.9,Online
581,9,45,3,10,19,5178.22,0,98386.18,Online
579,27,35,8,3,20,2826.77,0,56535.4,Online
328,43,15,2,14,3,1741.7,0,5225.1,Tienda
272,54,28,4,12,11,270.94,5,2980.34,Online
2,13,12,7,8,9,824.88,10,7423.92,Tienda
504,97,43,6,9,6,6108.0,15,36648.0,Online
591,167,38,4,3,16,2997.7,10,47963.2,Tienda
327,67,12,2,2,2,916.53,0,1833.06,Online
77,141,49,2,6,13,10094.37,0,131226.81,Tienda
722,8,7,7,11,20,8172.04,15,163440.8,Online
104,85,11,4,4,14,1341.74,0,18784.36,Tienda
553,68,28,5,5,18,256.68,10,4620.24,Online
562,126,30,3,1,2,344.62,0,689.24,Online
678,161,48,10,8,14,5455.83,0,76381.62,Online
653,75,49,2,8,1,10094.37,0,10094.37,Tienda
482,126,19,5,2,10,1044.22,10,10442.2,Tienda
390,95,13,3,8,13,1452.87,0,18887.31,Online
232,69,26,10,1,15,120.93,5,1813.95,Online
352,139,3,7,13,4,5399.91,0,21599.64,Tienda
396,134,16,7,9,18,1596.46,0,28736.28,Tienda
242,122,29,5,2,16,22.02,5,352.32,Online
529,147,13,10,3,2,1380.23,5,2760.46,Online
172,55,25,4,3,15,187.68,0,2815.2,Online
445,52,4,3,14,3,14362.08,20,43086.24,Tienda
69,23,32,7,9,11,6645.13,20,73096.43,Online
532,118,6,1,13,11,14808.65,15,162895.15,Tienda
429,29,9,7,3,19,15086.34,5,286640.46,Online
103,28,29,10,13,19,22.02,5,418.38,Online
352,106,28,5,7,10,242.42,15,2424.2,Tienda
39,45,27,5,7,19,216.35,10,4110.65,Online
411,10,13,7,15,20,1307.58,10,26151.6,Distribuidor
486,69,12,6,1,8,916.53,0,7332.24,Online
503,179,9,2,14,10,15880.36,0,158803.6,Online
453,199,43,6,5,10,5748.7,20,57487.0,Tienda
193,114,28,4,15,20,256.68,10,5133.6,Tienda
382,15,4,9,13,16,16157.34,10,258517.44,Online
413,35,48,9,15,10,4910.25,10,49102.5,Tienda
206,15,34,4,1,6,8999.91,0,53999.46,Tienda
281,95,19,8,9,12,1044.22,10,12530.64,Online
